player,position,team,weight,usd,usd_per_troy_oz,headshot
Jack Campbell,LB,Lions,249,3680505,1013.5665163792319,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oi205f9cylxya0w0ufd7"
Jordan Hicks,LB,Browns,238,4000000,1152.4636185963143,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lu22ju1v5a9w1jfyjf79"
Devin White,LB,Eagles,240,4000000,1142.8597551080118,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i1c4v09znk6ijwftzset"
Robert Spillane,LB,Raiders,220,3500000,1090.9115844212838,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gm97x0fcqphr9bxmjhxu"
Elandon Roberts,LB,Steelers,235,3500000,1021.2789300965211,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vbvspu3dh3ijm0gmqh4l"
Devin Lloyd,LB,Jaguars,237,3234152,935.7423196714143,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/elucvpqs3eax5luim5pe"
Jalen Reeves-Maybin,LB,Lions,230,3750000,1118.0149778230548,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oczccxuvy4ltvjy4fhmu"
Zack Baun,LB,Eagles,235,3500000,1021.2789300965211,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a5af4wko6icpw9gemzk5"
Sione Takitaki,LB,Patriots,230,3322500,990.5612703512267,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p0ga7fxhgbyy406ejxfa"
Shaq Thompson,LB,Panthers,228,3105000,933.836720950099,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wiokwxurjbmenmtrtrjo"
"Willie Gay, Jr.",LB,Saints,240,3000000,857.1448163310088,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ijgqwyeuc7umltdf9dao"
Eric Kendricks,LB,Cowboys,232,3000000,886.7015341355263,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/adc49lyuljufsfseggdc"
Jon Rhattigan,LB,SEA/CAR,245,2985000,835.4538046524282,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/p8yzmyqb5e5g8k5pj9wv"
Duke Riley,LB,Dolphins,232,2500000,738.9179451129387,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qupmregt7cnl5jgzvuug"
Malik Harrison,LB,Ravens,246,2742500,764.4616776545664,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ee7bygptv2xsx5zmbz5n"
Akeem Davis-Gaither,LB,Bengals,224,2742500,839.5427352813541,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x96f2dqigzscwplj024t"
Del'Shawn Phillips,LB,Texans,230,2600000,775.1570512906513,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f4t6he54ihdvf5pjsqm6"
Cody Barton,LB,Broncos,230,2500000,745.3433185487032,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f6oxa6q8svj1apvlni14"
Neville Hewitt,LB,Texans,219,2300000,720.1582018488841,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tohlmo4ymgsmbe3egoac"
Denzel Perryman,LB,Chargers,236,2300000,668.2823991733289,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vxzrfxabkffbe1lg5qcq"
Luke Gifford,LB,Titans,243,2000000,564.3751877076601,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mhdbbzj8amttnpd1nbpn"
Edgerrin Cooper,LB,Packers,230,2149730,640.9147568734816,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m7axuyrdekuaf7oyqnz3"
Amen Ogbongbemiga,LB,Bears,235,2100000,612.7673580579127,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ku8hafkvbxcxwxddutoc"
Nick Bolton,LB,Chiefs,232,1458510,431.08768485066884,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ystbhd2gmugyrwvrh7ms"
Troy Andersen,LB,Falcons,243,1525894,430.58835633599614,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/c6k4magsvhwcbrigevrz"
Troy Dye,LB,Chargers,236,1790000,520.0980410957646,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ulex6ncnpb7cmg7fobfi"
Divine Deablo,LB,Raiders,226,1245209,377.8139609199006,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjmvbtpxfzsetnmluwgi"
Raekwon McMillan,LB,Patriots,240,1495000,427.1438334716194,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pbp2nyjgepdk6neak71i"
Brian Asamoah,LB,Vikings,225,1371711,418.04621267705755,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/t4ierjdhdouiuitfk2mi"
Chad Muma,LB,Jaguars,237,1356529,392.4866837308648,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mxdsqj2tbvtzinxxocfc"
Christian Harris,LB,Texans,235,1337065,390.14751790557284,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fk8f2wabhgouupktevy2"
Ernest Jones,LB,TEN/LAR,230,1171339,349.2198789622078,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/e7fycep1c8lz37wjtdag"
Drew Sanders,LB,Broncos,235,1433683,418.34006866787735,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gwi1krserxfz1ym5vjic"
Nakobe Dean,LB,Eagles,231,1301161,386.2453355366482,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yszg4za8axmftpn0os1v"
Marte Mapu,LB,Patriots,216,1390927,441.565136275867,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lkiylcqxmq15fkhror6n"
Terrel Bernard,LB,Bills,218,1283216,403.63374041578413,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xyhkpsbbvmisvoltpsbq"
Leo Chenal,LB,Chiefs,250,1261226,345.9370649990057,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/p9pdzh7vjaox47ua1l4w"
Channing Tindall,LB,Dolphins,228,1261226,379.3169572357519,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mxa80j43igfxm0lqozkt"
Daiyan Henley,LB,Chargers,225,1355107,412.98593444404065,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hi2koemyxkbqkqapngiv"
Trenton Simpson,LB,Ravens,235,1351126,394.2504330587406,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pexqqrbwwiupvcnx8aqc"
DeMarvion Overshown,LB,Cowboys,229,1347506,403.4961686899327,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mbrs3s0sna7k1sbmhosy"
Dorian Williams,LB,Bills,228,1345702,404.7233310969372,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ntnd5dlrhtbysxlmjovo"
Junior Colson,LB,Chargers,247,1506752,418.3011064927547,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m7axuyrdekuaf7oyqnz3"
Devin Bush,LB,Browns,233,1500000,441.447974076056,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pgpf5oeyel2jgsz2luaq"
Nicholas Morrow,LB,Bills,216,1500000,476.1915646283382,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cqugkutgtlbtxjiadzzq"
Derrick Barnes,LB,Lions,245,1065302,298.1610080414878,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ec9f1idcfmuisflnj1pg"
Trevin Wallace,LB,Panthers,241,1489959,423.93713971642603,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m7axuyrdekuaf7oyqnz3"
Marist Liufau,LB,Cowboys,239,1422879,408.2387812941421,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m7axuyrdekuaf7oyqnz3"
Ty'Ron Hopper,LB,Packers,221,1419506,440.4424288328561,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m7axuyrdekuaf7oyqnz3"
Christian Rozeboom,LB,Rams,230,1400000,417.39225838727384,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x8fvmeu8teeqpoi4bkx6"
Payton Wilson,LB,Steelers,238,1399078,403.0966236446236,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m7axuyrdekuaf7oyqnz3"
Anthony Walker Jr.,LB,Dolphins,238,1377500,396.87965865410575,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/e0zs0cfqze82te05sqi3"
Eric Wilson,LB,Packers,225,1377500,419.810483376343,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jkwb6og7ip3vojzqhmsq"
Kamu Grugier-Hill,LB,Vikings,215,1377500,439.3365523705915,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sxfai8ftbojvsdl3wvem"
Caleb Johnson,LB,Jaguars,220,1350000,420.7801825624952,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/arvvjlny6wyyizxv0wxt"
Jamien Sherwood,LB,Jets,220,958714,298.82063107053335,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zlyaovcx4efymsjlpjus"
